# CDS exon coordinates for Plasmodium falciparum drug resistance genes
# Source: PlasmoDB-55 annotation (PlasmoDB-67_Pfalciparum3D7_Genome.fasta compatible)
#
# Columns (0-based, BED-style):
#   gene        : gene label used in pipeline (matches amplicons.bed column 4)
#   chrom       : chromosome name
#   cds_start   : exon start position, 0-based inclusive
#   cds_end     : exon end position, 0-based exclusive
#   strand      : + or -
#   exon_rank   : exon order within the transcript (1 = first coding exon)
#
# Verification:
#   CRT   (PF3D7_0709000) : 13 exons, + strand, 1275 bp → 424 aa
#   DHFR  (PF3D7_0417200) :  1 exon,  + strand, 1827 bp → 608 aa
#   DHPS  (PF3D7_0810800) :  3 exons, + strand, 2121 bp → 706 aa  [PPPK-DHPS bifunctional]
#   K13   (PF3D7_1343700) :  1 exon,  - strand, 2181 bp → 726 aa
#   MDR1  (PF3D7_0523000) :  1 exon,  + strand, 4260 bp → 1419 aa
#   MSP2  (PF3D7_0206800) :  1 exon,  - strand,  819 bp → 272 aa
#   PMI   (PF3D7_1407900) :  1 exon,  + strand, 1359 bp → 452 aa
#   PMIII (PF3D7_1408100) :  1 exon,  + strand, 1356 bp → 451 aa
#
gene	chrom	cds_start	cds_end	strand	exon_rank
CRT	Pf3D7_07_v3	403221	403312	+	1
CRT	Pf3D7_07_v3	403489	403758	+	2
CRT	Pf3D7_07_v3	403937	404110	+	3
CRT	Pf3D7_07_v3	404282	404415	+	4
CRT	Pf3D7_07_v3	404568	404640	+	5
CRT	Pf3D7_07_v3	404763	404839	+	6
CRT	Pf3D7_07_v3	404935	405018	+	7
CRT	Pf3D7_07_v3	405145	405196	+	8
CRT	Pf3D7_07_v3	405333	405390	+	9
CRT	Pf3D7_07_v3	405538	405631	+	10
CRT	Pf3D7_07_v3	405824	405869	+	11
CRT	Pf3D7_07_v3	406016	406071	+	12
CRT	Pf3D7_07_v3	406240	406317	+	13
DHFR	Pf3D7_04_v3	748087	749914	+	1
DHPS	Pf3D7_08_v3	548199	548335	+	1
DHPS	Pf3D7_08_v3	548511	550380	+	2
DHPS	Pf3D7_08_v3	550500	550616	+	3
K13	Pf3D7_13_v3	1724816	1726997	-	1
MDR1	Pf3D7_05_v3	957889	962149	+	1
MSP2	Pf3D7_02_v3	273688	274507	-	1
PMI	Pf3D7_14_v3	288296	289655	+	1
PMIII	Pf3D7_14_v3	297467	298823	+	1
